RefDes;Value;Name;Part;Pattern
C1;1uF;CAP_0805;Part 1;CAP_0603_N
C2;1uF;CAP_0805;Part 1;CAP_0603_N
C3;100nF;CAP_0805;Part 1;CAP_0603_N
C4;100nF;CAP_0805;Part 1;CAP_0603_N
C5;100nF;CAP_0805;Part 1;CAP_0603_N
C6;100nF;CAP_0805;Part 1;CAP_0603_N
C7;100nF;CAP_0805;Part 1;CAP_0603_N
C8;100nF;CAP_0805;Part 1;CAP_0603_N
C9;100nF;CAP_0805;Part 1;CAP_0603_N
C10;100nF;CAP_0805;Part 1;CAP_0603_N
C11;100nF;CAP_0805;Part 1;CAP_0603_N
C12;1uF;CAP_0805;Part 1;CAP_0603_N
C13;100nF;CAP_0805;Part 1;CAP_0603_N
C15;100nF;CAP_0805;Part 1;CAP_0603_N
D6;;LED_0805(2012 Metric)_N_Blue;Part 1;LED_0805(2012 Metric)_N_Blue
J1;;RaspberryPi IO;Part 1;HDR-2x20
JP1;;IDC_2pins;Part 1;IDC_1x2
JP6;;IDC_2pins;Part 1;IDC_1x2
JP7;;IDC_4pins;Part 1;HDR-2x2
JP8;;IDC_4pins;Part 1;IDC_1x4
JP15;;IDC_3pins;Part 1;IDC_1x3
JP16;;IDC_2pins;Part 1;IDC_1x2
L1;;IND_FERRITE_BEAD;Part 1;RES_0603_N
LS1;;BUZZER;Part 1;Buzzer
MD1;;S13V30F5;Part 1;D:\OneDrive\Documents\DipTrace\My Libraries
Q2;;AO3400A;Part 1;SOT23-3P95_280X125L45X40N_AD1
Q3;;AO3400A;Part 1;SOT23-3P95_280X125L45X40N_AD1
Q4;;AO3400A;Part 1;SOT23-3P95_280X125L45X40N_AD1
Q5;;AO3400A;Part 1;SOT23-3P95_280X125L45X40N_AD1
R1;220;RES_0805;Part 1;RES_0603_N
R2;220;RES_0805;Part 1;RES_0603_N
R3;4k7;RES_0805;Part 1;RES_0603_N
R4;4k7;RES_0805;Part 1;RES_0603_N
R5;;RES_0805;Part 1;RES_0603_N
R6;220;RES_0805;Part 1;RES_0603_N
R7;220;RES_0805;Part 1;RES_0603_N
R8;100k;RES_0805;Part 1;RES_0603_N
R9;100k;RES_0805;Part 1;RES_0603_N
R10;100k;RES_0805;Part 1;RES_0603_N
R11;10k;RES_0805;Part 1;RES_0603_N
R12;100k;RES_0805;Part 1;RES_0603_N
R13;100;RES_0805;Part 1;RES_0603_N
R14;100;RES_0805;Part 1;RES_0603_N
R15;100;RES_0805;Part 1;RES_0603_N
R16;100;RES_0805;Part 1;RES_0603_N
R17;100;RES_0805;Part 1;RES_0603_N
R19;12k;RES_0805;Part 1;RES_0603_N
R20;20k;RES_0805;Part 1;RES_0603_N
R21;1k;RES_0805;Part 1;RES_0603_N
R22;12k;RES_0805;Part 1;RES_0603_N
R23;20k;RES_0805;Part 1;RES_0603_N
R24;1k;RES_0805;Part 1;RES_0603_N
R25;12k;RES_0805;Part 1;RES_0603_N
R26;20k;RES_0805;Part 1;RES_0603_N
R27;1k;RES_0805;Part 1;RES_0603_N
R28;12k;RES_0805;Part 1;RES_0603_N
R29;20k;RES_0805;Part 1;RES_0603_N
R30;1k;RES_0805;Part 1;RES_0603_N
R31;1k;RES_0805;Part 1;RES_0603_N
R32;10k;RES_0805;Part 1;RES_0603_N
R33;10k;RES_0805;Part 1;RES_0603_N
R34;1k;RES_0805;Part 1;RES_0603_N
R35;10k;RES_0805;Part 1;RES_0603_N
R36;10k;RES_0805;Part 1;RES_0603_N
R37;1k;RES_0805;Part 1;RES_0603_N
S1;;Switch_4x3mm_SMD;Part 1;Switch_4x3mm_SMD
U1;;STM32G4A1CET;Part 1;QFP48P50_900X900X120L50X22N
U2;;TagConnect;Part 1;TagConnector
U3;;TPS7A24;Part 1;SOT23-5P95_280X145L45X40
U4;;TMP1075;Part 1;SOIC8P127_493X599X173L64X41L_AD4
U5;;IDC_2.54mm_3x4_straight;Part 1;2.54mm 3x4 straight
U6;;IDC_2.54mm_3x4_straight;Part 1;2.54mm 3x4 straight
U7;;IDC_2.54mm_3x4_straight;Part 1;2.54mm 3x4 straight
;;NTC;;
;;IN226;;
;;HALL Sensor DRV5033;;
